,field count,non empty count,data types
formVideos.workoutVideos.4.exercises.0.tagGroupName,3,3,str
formVideos.workoutVideos.4.explicitLyrics,3,0,bool
formVideos.workoutVideos.4.id,3,3,int
formVideos.workoutVideos.4.instructors.seat1,3,0,NoneType
formVideos.workoutVideos.4.instructors.seat1Id,3,0,NoneType
formVideos.workoutVideos.4.instructors.seat2,3,0,NoneType
formVideos.workoutVideos.4.instructors.seat2Id,3,0,NoneType
formVideos.workoutVideos.4.instructors.seat3,3,0,NoneType
formVideos.workoutVideos.4.instructors.seat3Id,3,0,NoneType
formVideos.workoutVideos.4.instructors.stroke.cardImage,3,0,NoneType
formVideos.workoutVideos.4.instructors.stroke.cardUri,3,0,NoneType
formVideos.workoutVideos.4.instructors.stroke.familiarName,3,3,str
formVideos.workoutVideos.4.instructors.stroke.id,3,3,int
formVideos.workoutVideos.4.instructors.stroke.instructorName,3,3,str
formVideos.workoutVideos.4.instructors.stroke.name,3,3,str
formVideos.workoutVideos.4.instructors.stroke.thumbnailImage.bucket,3,3,str
formVideos.workoutVideos.4.instructors.stroke.thumbnailImage.imageServerBaseUrl,3,3,str
formVideos.workoutVideos.4.instructors.stroke.thumbnailImage.key,3,3,str
formVideos.workoutVideos.4.instructors.stroke.thumbnailUri,3,3,str
formVideos.workoutVideos.4.instructors.strokeId,3,3,int
formVideos.workoutVideos.4.intensityIconUrl,3,0,NoneType
formVideos.workoutVideos.4.intensityLevel,3,0,NoneType
formVideos.workoutVideos.4.intensityText,3,0,NoneType
formVideos.workoutVideos.4.isCanceled,3,0,bool
formVideos.workoutVideos.4.isLive,3,0,bool
formVideos.workoutVideos.4.liveBodyBroadcastTime,3,0,NoneType
formVideos.workoutVideos.4.location,3,3,str
formVideos.workoutVideos.4.locationShortName,3,3,str
formVideos.workoutVideos.4.maxRhythm,3,0,NoneType
formVideos.workoutVideos.4.mediaSources.0.audioTracks.0.duration,3,3,int
formVideos.workoutVideos.4.mediaSources.0.audioTracks.0.language,3,3,str
formVideos.workoutVideos.4.mediaSources.0.audioTracks.0.name,3,3,str
formVideos.workoutVideos.4.mediaSources.0.audioTracks.0.primary,3,3,bool
formVideos.workoutVideos.4.mediaSources.0.mimeType,3,3,str
formVideos.workoutVideos.4.mediaSources.0.providerName,3,3,str
formVideos.workoutVideos.4.mediaSources.0.textTracks.0.language,3,3,str
formVideos.workoutVideos.4.mediaSources.0.textTracks.0.name,3,3,str
formVideos.workoutVideos.4.mediaSources.0.textTracks.0.type,3,3,str
formVideos.workoutVideos.4.mediaSources.0.uri,3,3,str
formVideos.workoutVideos.4.mediaSources.1.audioTracks.0.duration,3,3,int
formVideos.workoutVideos.4.mediaSources.1.audioTracks.0.language,3,3,str
formVideos.workoutVideos.4.mediaSources.1.audioTracks.0.name,3,3,str
formVideos.workoutVideos.4.mediaSources.1.audioTracks.0.primary,3,3,bool
formVideos.workoutVideos.4.mediaSources.1.mimeType,3,3,str
formVideos.workoutVideos.4.mediaSources.1.providerName,3,3,str
formVideos.workoutVideos.4.mediaSources.1.textTracks.0.language,3,3,str
formVideos.workoutVideos.4.mediaSources.1.textTracks.0.name,3,3,str
formVideos.workoutVideos.4.mediaSources.1.textTracks.0.type,3,3,str
formVideos.workoutVideos.4.mediaSources.1.uri,3,3,str
formVideos.workoutVideos.4.name,3,3,str
formVideos.workoutVideos.4.posterUri,3,0,NoneType
formVideos.workoutVideos.4.publish,3,3,bool
formVideos.workoutVideos.4.recommendationType,3,0,NoneType
formVideos.workoutVideos.4.targetDistance,3,0,NoneType
formVideos.workoutVideos.4.thumbnailUri,3,0,NoneType
formVideos.workoutVideos.4.type,3,3,str
formVideos.workoutVideos.4.videoDisplayTime,3,3,str
formVideos.workoutVideos.5.brightcoveVideoId,2,2,str
formVideos.workoutVideos.5.categoryId,2,2,int
formVideos.workoutVideos.5.closedCaptions.0.language,2,2,str
formVideos.workoutVideos.5.closedCaptions.0.mimeType,2,2,str
formVideos.workoutVideos.5.closedCaptions.0.type,2,2,str
formVideos.workoutVideos.5.closedCaptions.0.uri,2,2,str
formVideos.workoutVideos.5.durationBody,2,2,int
formVideos.workoutVideos.5.enabled,2,2,bool
formVideos.workoutVideos.5.exercises.0.id,2,2,str
formVideos.workoutVideos.5.exercises.0.key,2,2,str
formVideos.workoutVideos.5.exercises.0.name,2,2,str
formVideos.workoutVideos.5.exercises.0.tagGroupId,2,2,str
formVideos.workoutVideos.5.exercises.0.tagGroupKey,2,2,str
formVideos.workoutVideos.5.exercises.0.tagGroupName,2,2,str
formVideos.workoutVideos.5.explicitLyrics,2,0,bool
formVideos.workoutVideos.5.id,2,2,int
formVideos.workoutVideos.5.instructors.seat1,2,0,NoneType
formVideos.workoutVideos.5.instructors.seat1Id,2,0,NoneType
formVideos.workoutVideos.5.instructors.seat2,2,0,NoneType
formVideos.workoutVideos.5.instructors.seat2Id,2,0,NoneType
formVideos.workoutVideos.5.instructors.seat3,2,0,NoneType
formVideos.workoutVideos.5.instructors.seat3Id,2,0,NoneType
formVideos.workoutVideos.5.instructors.stroke.cardImage,2,0,NoneType
formVideos.workoutVideos.5.instructors.stroke.cardUri,2,1,"NoneType, str"
formVideos.workoutVideos.5.instructors.stroke.familiarName,2,2,str
formVideos.workoutVideos.5.instructors.stroke.id,2,2,int
formVideos.workoutVideos.5.instructors.stroke.instructorName,2,2,str
formVideos.workoutVideos.5.instructors.stroke.name,2,2,str
formVideos.workoutVideos.5.instructors.stroke.thumbnailImage.bucket,2,2,str
formVideos.workoutVideos.5.instructors.stroke.thumbnailImage.imageServerBaseUrl,2,2,str
formVideos.workoutVideos.5.instructors.stroke.thumbnailImage.key,2,2,str
formVideos.workoutVideos.5.instructors.stroke.thumbnailUri,2,2,str
formVideos.workoutVideos.5.instructors.strokeId,2,2,int
formVideos.workoutVideos.5.intensityIconUrl,2,0,NoneType
formVideos.workoutVideos.5.intensityLevel,2,0,NoneType
formVideos.workoutVideos.5.intensityText,2,0,NoneType
formVideos.workoutVideos.5.isCanceled,2,0,bool
